pid        cpu        bustlen    arv        finish     waitingtime  turnaround
0          0          183        0          184        1            184       
1          1          153        100        255        2            155       
2          0          243        421        666        2            245       
3          1          41         465        507        1            42        
4          0          33         757        791        1            34        
5          1          65         918        985        2            67        
6          0          45         1115       1162       2            47        
7          1          304        1261       1567       2            306       
8          0          101        1757       1860       2            103       
9          1          15         2009       2024       0            15        
average turnaround time: 119 ms
